860	7.25	7.25	0	0	0	0	14.5	0	0	14.5	14.5	0	0	14.5	0
759	24.75	7.25	0	17.5	0	0	32	0	0	32	14.5	0	17.5	14.5	0
752	42.25	7.25	0	35	0	0	49.5	0	0	49.5	14.5	0	35	14.5	0
892	7.25	24.75	0	0	17.5	0	14.5	17.5	0	14.5	32	0	0	32	0
304	24.75	24.75	0	17.5	17.5	0	32	17.5	0	32	32	0	17.5	32	0
996	42.25	24.75	0	35	17.5	0	49.5	17.5	0	49.5	32	0	35	32	0
11	7.25	42.25	0	0	35	0	14.5	35	0	14.5	49.5	0	0	49.5	0
100	24.75	42.25	0	17.5	35	0	32	35	0	32	49.5	0	17.5	49.5	0
962	42.25	42.25	0	35	35	0	49.5	35	0	49.5	49.5	0	35	49.5	0
308	7.25	59.75	0	0	52.5	0	14.5	52.5	0	14.5	67	0	0	67	0
109	24.75	59.75	0	17.5	52.5	0	32	52.5	0	32	67	0	17.5	67	0
560	42.25	59.75	0	35	52.5	0	49.5	52.5	0	49.5	67	0	35	67	0
